
rank
Bronze Saints 
 Host of Hades
Bronze Saints
Gold Saint of Athena
Gold Saints
null
Gold
Silver Saints
Gold Saints 
Pallasites Second Class
Saturnians
Silver Saints
Bronze Saints
Profesor at Palestra (manga-only)
Legendary Saints
Master at Jamir
Silver Saints
Gold Saints
Gold Saints
Gold
Gold
null
Silver Saints
Silver Saints
Silver Saints
Silver Saints
Silver Saints
Gold Saints
Gold
Gold Saints
Gold Saints
Dryades
Resurrected Saint
Gold Saints
Gold Saints
Silver Saints
Silver Saints
Silver Saints
Gold Saints
null
Principal at Palestra
Gold Saints
Gold Saints
Corona Saints
Bronze Saints
Silver Saints
Silver Saints
Silver Saints
Bronze Saints
Bronze Saints
Bronze Saints
Corona Saints
null
Bronze Saints
null
Silver Saints
Silver Saints
Silver Saint of Athena
Celestial Star Specters
Silver Saints
Silver Saints
Silver Saints
Ghost Five
Bronze Saints
Marinas General
null
Bronze Saints
Bronze Saints
Bronze Saints
Bronze Saints
Gold Saints
Bronze Saints
Bronze Saints
Bronze Saints
Steel Saints
Bronze Saints
Human Form of Saturn
Bronze Saints
Bronze Saints
Potential Host of Eris' soul
Gold Saints
Gold Saints
Gold Saints
Resurrected Saint
Gold Saints
Marinas General
Gold Saints
Gold Saints
Pallasites Second Class
Gold Saints
High Priest
Resurrected Saint
Bronze Saints
Silver Saints
Silver Saints
Bronze Saints
Bronze Saints
Silver Saints
Gold Saint of Athena
Gold Saints
Gold Saints
Gold Saint of Athena
Gold Saints
Bronze Saints
Bronze Saints
Bronze Saints
Profesor at Palestra(tempory)
Bronze Saints
Gold Saints
Gold Saints
Pope
Libra Gold Saint
Bronze Saints
Bronze Saints
Bronze Saints
Bronze Saints
Corona Saints
Bronze Saints
Bronze Saints
Silver Saints
Ghost Five
Silver Saints
Bronze Saints
Bronze Saints
Silver Saints
Silver Saints
Bronze Saints
Silver Saints
Silver Saints
Gold Saints
Bronze Saints
Pallasites Third Class
Silver Saints
Ressurected Saint
Silver Saints
Ghost Five
Silver Saints
Silver Saints
Silver Saints
Bronze Saint
Gold Saint
God Saint
Bronze Saint
Bronze Saints
Host of Apsu
Silver Saints
Silver Saints
Bronze Saints
Gold Saint
Gold Saints
Resurrected Saint
Gold Saints
Gold Saints
Gold Saints
Silver Saints
Bronze Saints
Silver Saints
Silver Saints
Silver Saints
Ghost Five
Silver Saints
Silver Saints
Gold Saints
Gold Saints
Gold Saints
Gold Saints
Gold Saints
Gold Saints
Martian
Gold Saints
Gold Saints
Silver Saints
Silver Saints
Silver Saints
Ghost Five
Bronze Saints
Gold Saints
Gold Saints
Gold Saints
Gold Saints
Gold Saints
Gold Saints
Silver Saints
Bronze Saints
Bronze Saints
Bronze Saints
Silver Saints
Gold Saints
Gold Saints
Gold Saints
Gold Saints
Saint Apprentice
Bronze Saints
Silver Saints
Silver Saints
Silver Saints
Silver Saints
Silver Saints
Silver Saints
Bronze Saints
Bronze Saints
null
Captain of Palace Guards at Sanctuary
null
Caraib Ghost Saints
Steel Saints
Steel Saints
Steel Saints
Steel Saints
Steel Saints
Steel Saints
Black Saints
Black Saint
Guardian of the Death Queen Island
Black Saints
Black Saints
Black Saints
Black Saints
Black Saint
Black Saints
Black Saints
Black Saints
Black Saints
null
null
null
null
null
null
null
null
null
null
null
null
The High Priest of the Giants
null
null
null
Mother Of Giant ( Gigas )
Giga God
Titan of Knowledge
Titan of Constellations
God of Time
Titaness of Light
Titan of Light and the Sky
Titan of Mortality and Craftsmanship
Titaness of Memory
Titan of the Ocean
Titanesses
Titaness
Titaness
Titaness of the Ocean
Titan of the Moon
Bearer of the sky
Minor Titaness of the seas
